id,ics_table_id,country
1504,274,LVA
1505,274,LTU
1506,274,LUX
1507,274,MLT
1508,274,NLD
1509,274,POL
1510,274,PRT
1511,274,ROU
1512,274,SVK
1513,274,SVN
1514,274,ESP
1515,274,SWE
1516,275,GBR
1517,275,USA
1518,276,GBR
1519,276,COL
1520,276,DEU
1521,276,TWN
1522,276,IRL
1523,276,AUS
1524,276,SWE
1525,278,ARG
1526,279,GBR
1527,280,ARG
1528,280,AUT
1529,280,BEL
1530,280,BGR
1531,280,HRV
1532,280,CYP
1533,280,CZE
1534,280,DNK
1535,280,EST
1536,280,FIN
1537,280,FRA
1538,280,DEU
1539,280,GRC
1540,280,HUN
1541,280,IRL
1542,280,ITA
1543,280,LVA
1544,280,LTU
1545,280,LUX
1546,280,MLT
1547,280,NLD
1548,280,POL
1549,280,PRT
1550,280,ROU
1551,280,SVK
1552,280,SVN
1553,280,ESP
1554,280,SWE
1555,282,GBR
1556,282,ITA
1557,282,BEL
1558,282,SWE
1559,282,MLT
1560,283,ETH
1561,283,TGO
1562,283,CIV
1563,283,ZMB
1564,284,GBR
1565,287,GBR
1566,288,DEU
1567,288,AUT
1568,288,BEL
1569,288,BGR
1570,288,HRV
1571,288,CYP
1572,288,CZE
1573,288,DNK
1574,288,EST
1575,288,FIN
1576,288,FRA
1577,288,GRC
1578,288,HUN
1579,288,IRL
1580,288,ITA
1581,288,LVA
1582,288,LTU
1583,288,LUX
1584,288,MLT
1585,288,NLD
1586,288,POL
1587,288,PRT
1588,288,ROU
1589,288,SVK
1590,288,SVN
1591,288,ESP
1592,288,SWE
1593,289,GBR
1594,289,USA
1595,289,DEU
1596,289,CAN
1597,289,ARG
1598,289,MEX
1599,289,NZL
1600,291,FIN
1601,291,SWE
1602,291,GBR
1603,291,IRL
1604,292,GBR
1605,292,DNK
1606,292,ISR
1607,292,CZE
1608,292,JPN
1609,292,CHN
1610,292,ISL
1611,292,USA
1612,293,GBR
1613,295,GBR
1614,296,JOR
1615,296,ARE
1616,296,EGY
1617,302,GBR
1618,302,BEL
1619,302,DEU
1620,304,USA
1621,304,CAN
1622,304,CHL
1623,304,LAO
1624,304,CHN
1625,304,GBR
1626,306,GBR
1627,306,IND
1628,306,THA
1629,307,GBR
1630,307,USA
1631,307,SWE
1632,307,JPN
1633,308,GBR
1634,310,GBR
1635,310,AUT
1636,313,CHE
1637,313,GBR
1638,313,USA
1639,314,GBR
1640,315,BGD
1641,315,LAO
1642,315,MWI
1643,315,LKA
1644,315,GBR
1645,315,VNM
1646,320,IDN
1647,320,USA
1648,321,GBR
1649,322,BEL
1650,322,GBR
1651,323,ARG
1652,323,BGD
1653,323,CHL
1654,323,COL
1655,323,CRI
1656,323,CIV
1657,323,DOM
1658,323,GHA
1659,323,MDV
1660,323,MEX
1661,323,MNG
1662,323,MAR
1663,323,NGA
1664,323,PER
1665,323,PHL
1666,323,TGO
1667,324,GBR
1668,326,AUS
1669,326,GBR
1670,327,GBR
